sample_idx,seed,strategy,ok,error,completion_rate,overall_on_time_rate,conditional_on_time_rate,blocked_sec,makespan,mean_tardy_over_completed_sec,mean_tardy_over_late_sec
130,130,OPTIMIZED,1,,0.60929,0.57738,0.94764,,424745.88,4418.93,84388.44
131,131,EDD,1,,0.57929,0.51452,0.8882,,424657.8,19493.84,174369.53
131,131,COLOR_GROUP,1,,0.57929,0.51452,0.8882,,424657.8,19487.79,174315.38
131,131,LOAD_BALANCE,1,,0.57929,0.51452,0.8882,,424657.8,19419.42,173703.85
131,131,OPTIMIZED,1,,0.62714,0.59381,0.94685,,424752.03,4516.99,84983.87
132,132,EDD,1,,0.57476,0.51429,0.89478,,424682.3,19285.03,183283.72
132,132,COLOR_GROUP,1,,0.57571,0.51429,0.8933,,424763.91,18971.25,177800.29
132,132,LOAD_BALANCE,1,,0.57476,0.51429,0.89478,,424682.3,19273.27,183171.95
132,132,OPTIMIZED,1,,0.62762,0.595,0.94803,,424782.49,4316.03,83044.23
133,133,EDD,1,,0.58143,0.51357,0.88329,,424699.27,20514.67,175778.35
133,133,COLOR_GROUP,1,,0.58143,0.51357,0.88329,,424699.27,20510.61,175743.54
133,133,LOAD_BALANCE,1,,0.58143,0.51357,0.88329,,424699.27,20502.15,175671.07
133,133,OPTIMIZED,1,,0.62762,0.59381,0.94613,,424745.47,4396.54,81614.61
134,134,EDD,1,,0.5581,0.51452,0.92193,,424700.94,15611.09,199958.39
134,134,COLOR_GROUP,1,,0.5581,0.51452,0.92193,,424700.94,15611.0,199957.29
134,134,LOAD_BALANCE,1,,0.5581,0.51452,0.92193,,424700.94,15608.1,199920.13
134,134,OPTIMIZED,1,,0.62262,0.58952,0.94685,,424786.86,4685.37,88145.55
135,135,EDD,1,,0.57048,0.51071,0.89524,2516.76,424592.34,16952.27,161823.27
135,135,COLOR_GROUP,1,,0.57881,0.51476,0.88935,2296.47,424675.68,18831.89,170187.09
135,135,LOAD_BALANCE,1,,0.57048,0.51071,0.89524,2081.71,424592.34,16725.59,159659.43
135,135,OPTIMIZED,1,,0.6219,0.58952,0.94793,1358.72,424763.22,4278.84,82178.89
136,136,EDD,1,,0.56262,0.51333,0.9124,,424721.1,17362.02,198195.4
136,136,COLOR_GROUP,1,,0.56262,0.51333,0.9124,,424721.1,17193.96,196276.98
136,136,LOAD_BALANCE,1,,0.56262,0.51333,0.9124,,424721.1,17357.34,198142.02
136,136,OPTIMIZED,1,,0.62024,0.59143,0.95355,,424747.95,4547.94,97912.34
137,137,EDD,1,,0.57476,0.51452,0.89519,,424796.27,18440.58,175950.88
137,137,COLOR_GROUP,1,,0.57476,0.51452,0.89519,,424796.27,18438.61,175932.0
137,137,LOAD_BALANCE,1,,0.57476,0.51452,0.89519,,424796.27,18439.33,175938.86
137,137,OPTIMIZED,1,,0.62548,0.59405,0.94975,,424785.08,4412.86,87822.59
138,138,EDD,1,,0.57952,0.51452,0.88784,,424761.48,19434.53,173273.47
138,138,COLOR_GROUP,1,,0.57952,0.51452,0.88784,,424761.48,19432.09,173251.71
138,138,LOAD_BALANCE,1,,0.57952,0.51452,0.88784,,424761.48,19418.59,173131.29
138,138,OPTIMIZED,1,,0.62857,0.59405,0.94508,,424759.5,4612.28,83975.25
139,139,EDD,1,,0.57571,0.51452,0.89371,,424749.42,19271.24,181314.59
139,139,COLOR_GROUP,1,,0.57595,0.51452,0.89334,,424770.43,19390.26,181802.46
139,139,LOAD_BALANCE,1,,0.57571,0.51452,0.89371,,424749.42,19266.6,181270.99
139,139,OPTIMIZED,1,,0.62881,0.59548,0.94699,,424740.48,4296.25,81045.72
140,140,EDD,1,,0.565,0.51286,0.90771,,424786.86,12708.55,137704.99
140,140,COLOR_GROUP,1,,0.565,0.515,0.9115,,424786.86,12296.06,138945.5
140,140,LOAD_BALANCE,1,,0.565,0.51286,0.90771,,424786.86,12700.25,137615.01
140,140,OPTIMIZED,1,,0.60667,0.58333,0.96154,,424781.59,2388.2,62093.19
141,141,EDD,1,,0.5719,0.51405,0.89883,,424777.95,17793.62,175885.9
141,141,COLOR_GROUP,1,,0.5719,0.51405,0.89883,,424777.95,17793.55,175885.18
141,141,LOAD_BALANCE,1,,0.5719,0.51405,0.89883,,424777.95,17777.38,175725.35
141,141,OPTIMIZED,1,,0.62333,0.59333,0.95187,,424757.73,3982.21,82741.47
142,142,EDD,1,,0.58119,0.51476,0.8857,,424635.84,20284.55,177471.62
142,142,COLOR_GROUP,1,,0.58119,0.51476,0.8857,,424635.84,20280.88,177439.5
142,142,LOAD_BALANCE,1,,0.58119,0.51476,0.8857,,424635.84,20222.93,176932.48
142,142,OPTIMIZED,1,,0.62786,0.59476,0.94729,,424750.86,4397.08,83417.9
143,143,EDD,1,,0.5769,0.51429,0.89146,,424558.93,19974.57,184024.27
143,143,COLOR_GROUP,1,,0.57833,0.51429,0.88925,,424678.75,19859.66,179327.6
143,143,LOAD_BALANCE,1,,0.5769,0.51429,0.89146,,424558.93,19939.78,183703.76
143,143,OPTIMIZED,1,,0.62762,0.59452,0.94727,,424794.0,4474.96,84863.2
144,144,EDD,1,,0.56857,0.51381,0.90369,1614.91,424648.52,16501.15,171324.95
144,144,COLOR_GROUP,1,,0.57952,0.51381,0.88661,923.06,424782.99,20024.91,176596.48
144,144,LOAD_BALANCE,1,,0.56857,0.51381,0.90369,1614.91,424648.52,16495.47,171266.02
144,144,OPTIMIZED,1,,0.62548,0.59262,0.94747,1051.47,424762.1,4431.73,84363.4
145,145,EDD,1,,0.57667,0.515,0.89306,,424719.66,19157.31,179146.74
145,145,COLOR_GROUP,1,,0.57667,0.515,0.89306,,424719.66,19119.98,178797.64
145,145,LOAD_BALANCE,1,,0.57667,0.515,0.89306,,424719.66,19109.01,178695.05
145,145,OPTIMIZED,1,,0.6269,0.5931,0.94607,,424782.68,4639.64,86029.47
146,146,EDD,1,,0.57952,0.51595,0.8903,,424774.2,19361.54,176501.84
146,146,COLOR_GROUP,1,,0.58143,0.51595,0.88739,,424793.41,20179.77,179196.37
146,146,LOAD_BALANCE,1,,0.57952,0.51595,0.8903,,424774.2,19352.32,176417.79
146,146,OPTIMIZED,1,,0.62333,0.59476,0.95416,,424746.34,3488.39,76105.1
147,147,EDD,1,,0.58167,0.51524,0.8858,,424724.38,20094.38,175951.87
147,147,COLOR_GROUP,1,,0.58167,0.51548,0.88621,,424724.38,20005.58,175804.4
147,147,LOAD_BALANCE,1,,0.58167,0.51524,0.8858,,424724.38,20091.14,175923.49
147,147,OPTIMIZED,1,,0.62786,0.59452,0.94691,,424742.5,4432.48,83488.94
148,148,EDD,1,,0.57905,0.51524,0.8898,,424750.65,19148.84,173768.57
148,148,COLOR_GROUP,1,,0.57905,0.51524,0.8898,,424750.65,19109.21,173408.91
148,148,LOAD_BALANCE,1,,0.57905,0.51524,0.8898,,424750.65,19144.45,173728.7
148,148,OPTIMIZED,1,,0.62762,0.59381,0.94613,,424746.99,4360.68,80948.91
149,149,EDD,1,,0.555,0.51524,0.92836,6970.03,424667.91,10295.03,143698.83
149,149,COLOR_GROUP,1,,0.555,0.51524,0.92836,6356.71,424686.91,10128.19,141370.08
149,149,LOAD_BALANCE,1,,0.555,0.51524,0.92836,6970.03,424667.91,10270.14,143351.53
149,149,OPTIMIZED,1,,0.62071,0.5869,0.94553,5893.49,424789.38,4141.92,76042.09
150,150,EDD,1,,0.55738,0.51333,0.92097,,424664.29,13384.63,169369.86
150,150,COLOR_GROUP,1,,0.55738,0.51333,0.92097,,424664.29,13364.12,169110.34
150,150,LOAD_BALANCE,1,,0.55738,0.51333,0.92097,,424664.29,13376.11,169262.07
150,150,OPTIMIZED,1,,0.61429,0.58571,0.95349,,424753.45,5030.99,108166.35
151,151,EDD,1,,0.57452,0.51571,0.89764,,424726.21,16936.8,165459.53
151,151,COLOR_GROUP,1,,0.57452,0.51571,0.89764,,424726.21,16567.0,161846.86
151,151,LOAD_BALANCE,1,,0.57452,0.51571,0.89764,,424726.21,16891.13,165013.37
151,151,OPTIMIZED,1,,0.62333,0.59024,0.94691,,424772.48,4448.32,83781.94
152,152,EDD,1,,0.56952,0.51214,0.89925,,424785.57,17345.75,172161.97
